# Frequency [Hz], real [N/m2], imaginary [N/m2]
1.100000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
1.120000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
1.140000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
1.160000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
1.180000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
1.200000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
1.220000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
1.240000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
1.260000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
1.280000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
1.300000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
1.320000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
1.340000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
1.360000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
1.380000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
1.400000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
1.420000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
1.440000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
1.460000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
1.480000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
1.500000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
1.520000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
1.540000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
1.560000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
1.580000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
1.600000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
1.620000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
1.640000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
1.660000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
1.680000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
1.700000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
1.720000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
1.740000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
1.760000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
1.780000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
1.800000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
1.820000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
1.840000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
1.860000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
1.880000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
1.900000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
1.920000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
1.940000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
1.960000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
1.980000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
2.000000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
2.020000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
2.040000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
2.060000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
2.080000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
2.100000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
2.120000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
2.140000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
2.160000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
2.180000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
2.200000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
2.220000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
2.240000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
2.260000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
2.280000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
2.300000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
2.320000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
2.340000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
2.360000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
2.380000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
2.400000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
2.420000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
2.440000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
2.460000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
2.480000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
2.500000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
2.520000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
2.540000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
2.560000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
2.580000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
2.600000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
2.620000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
2.640000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
2.660000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
2.680000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
2.700000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
2.720000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
2.740000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
2.760000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
2.780000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
2.800000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
2.820000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
2.840000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
2.860000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
2.880000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
2.900000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
2.920000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
2.940000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
2.960000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
2.980000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
3.000000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
3.020000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
3.040000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
3.060000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
3.080000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
3.100000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
3.120000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
3.140000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
3.160000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
3.180000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
3.200000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
3.220000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
3.240000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
3.260000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
3.280000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
3.300000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
3.320000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
3.340000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
3.360000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
3.380000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
3.400000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
3.420000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
3.440000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
3.460000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
3.480000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
3.500000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
3.520000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
3.540000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
3.560000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
3.580000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
3.600000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
3.620000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
3.640000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
3.660000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
3.680000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
3.700000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
3.720000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
3.740000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
3.760000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
3.780000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
3.800000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
3.820000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
3.840000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
3.860000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
3.880000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
3.900000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
3.920000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
3.940000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
3.960000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
3.980000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
4.000000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
4.020000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
4.040000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
4.060000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
4.080000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
4.100000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
4.120000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
4.140000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
4.160000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
4.180000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
4.200000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
4.220000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
4.240000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
4.260000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
4.280000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
4.300000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
4.320000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
4.340000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
4.360000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
4.380000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
4.400000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
4.420000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
4.440000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
4.460000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
4.480000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
4.500000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
4.520000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
4.540000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
4.560000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
4.580000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
4.600000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
4.620000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
4.640000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
4.660000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
4.680000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
4.700000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
4.720000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
4.740000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
4.760000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
4.780000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
4.800000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
4.820000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
4.840000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
4.860000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
4.880000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
4.900000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
4.920000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
4.940000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
4.960000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
4.980000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
5.000000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
5.020000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
5.040000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
5.060000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
5.080000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
5.100000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
5.120000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
5.140000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
5.160000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
5.180000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
5.200000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
5.220000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
5.240000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
5.260000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
5.280000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
5.300000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
5.320000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
5.340000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
5.360000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
5.380000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
5.400000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
5.420000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
5.440000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
5.460000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
5.480000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
5.500000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
5.520000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
5.540000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
5.560000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
5.580000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
5.600000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
5.620000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
5.640000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
5.660000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
5.680000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
5.700000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
5.720000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
5.740000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
5.760000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
5.780000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
5.800000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
5.820000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
5.840000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
5.860000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
5.880000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
5.900000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
5.920000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
5.940000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
5.960000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
5.980000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
6.000000000000000000e+02,2.037182999999999993e+03,0.000000000000000000e+00
